地区,行政区划面积（平方公里）,年末常住人口（万人）,其中外来人口,人口密度（人/平方公里）
浦东新区,1210.41,556.70,234.22,4599
黄浦区,20.46,65.08,17.83,31808
徐汇区,54.76,109.46,27.45,19989
长宁区,38.30,69.36,17.96,18110
静安区,36.88,105.77,26.83,28680
普陀区,54.83,127.58,34.03,23268
虹口区,23.48,79.40,15.46,33816
杨浦区,60.73,130.49,27.63,21487
闵行区,370.75,254.93,125.14,6876
宝山区,270.99,204.43,83.78,7544
嘉定区,464.20,159.60,90.48,3438
金山区,586.05,80.70,27.32,1377
松江区,605.64,177.19,106.31,2926
青浦区,670.14,123.31,71.43,1840
奉贤区,687.39,115.78,57.72,1684
崇明区,1185.49,68.36,14.12,577
